PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
2892_05,Earth,False,G/469/P,TRAPPIST-1e,9.0,False,0.0,0.0,0.0,0.0,0.0,Wilmay Coolerson,False
6402_05,,False,G/1032/P,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,Elene Knoxonway,False
4254_01,Europa,False,B/136/P,55 Cancri e,33.0,False,5493.0,9401.0,23.0,3013.0,303.0,Alasmon Idercaling,False
2424_01,Earth,False,G/393/S,TRAPPIST-1e,34.0,False,34.0,223.0,1559.0,0.0,0.0,Hanna Fishopper,True
7338_01,Mars,False,D/233/P,TRAPPIST-1e,42.0,False,1318.0,0.0,1386.0,,,Jumars Colte,False
4156_01,Earth,True,G/684/P,55 Cancri e,15.0,,0.0,0.0,0.0,0.0,0.0,Millia Watkinsley,False
0581_01,Earth,False,E/38/S,TRAPPIST-1e,22.0,False,0.0,0.0,601.0,183.0,4.0,Chael Woodgezalez,False
4546_01,Earth,,G/744/P,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,Kenda Bailes,True
4386_01,Europa,False,B/170/S,TRAPPIST-1e,54.0,False,0.0,0.0,0.0,0.0,0.0,,True
5909_03,Earth,True,G/961/S,55 Cancri e,2.0,False,0.0,0.0,0.0,0.0,0.0,Holey Fryan,True
1596_01,Europa,True,B/54/P,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,Izarfik Replipent,True
3301_03,Earth,False,G/525/S,55 Cancri e,0.0,False,0.0,0.0,0.0,0.0,0.0,Yolace Domington,True
1035_01,Mars,False,F/214/P,55 Cancri e,13.0,False,4.0,0.0,1973.0,0.0,39.0,Nutz Bra,True
1148_03,Europa,False,C/42/P,TRAPPIST-1e,30.0,False,0.0,5225.0,0.0,8.0,1933.0,Caia Clugete,False
4415_01,Mars,False,F/833/S,TRAPPIST-1e,45.0,False,941.0,281.0,36.0,12.0,39.0,Froon Parta,False
